group,store,review_text,max_similarity
event,이태리국시,"저장해둔 식당이었는데 근처 볼일이 있어 들렀어요. 숯불고기쌈피자, 대창,곱창 파스타 주문했어요. 남편을 대창을 저는 곱창을 좋아해서 시켰는데 맛있네요. 한국적인 입맛에 맞춰 메뉴 3가지를 다 먹어도 콜라 생각이 안 날만큼 느끼하거나 더부룩하지 않고 편안하네요. 보통 피자, 파스타 먹으면 콜라는 기본인데 파스타는 레드 베이스라 딱 좋았고 피자도 도우는 얇고 채소와 치즈도 맛나서 헤비하지 않아 좋았어요. 대식가인 우리에게는 두 개는 부족했을것 같고 세 개는 시켜야 배가 좀 찼어요^^",0.07193131887994562
event,이태리국시,서울숲나들이 왔다가 검색해보고왔어요 퓨전스타일파스타라 재미있네요 바지락아낌없이 듬뿍 잘 먹었습니다~^^,0.08588651447143597
event,이태리국시,재미나이 덕에 맛있는거 먹고 가요! 매장이 3층이라 큰기대안했는데 엳시 재미나이…🙋🏻‍♀️ 임신한 친구랑 같이 먹었는데 음식도 자극적이지않고 너무 좋네요💕 뇨끼 존맛탱💕,0.10698869471743375
event,이태리국시,성수맛집검색해서 왔는데 진짜맛집이네요 아이도 엄마도 이모도 다맛있어했어요 완전만족합니다 직원분들도 너무친절해서 기분좋게먹고갑니다~♡,0.12931207097016484
event,이태리국시,너무 맛있어 오 ㅇ많이파세오사장님 인테리어도 너무 좋아용,0.1927001574438882
event,이태리국시,퓨전이라 그래서 크게 기대안했는데요 ㅎㅎ 진짜 맛있네요!!! 메뉴들이 다 특색있고 그만큼 맛있어요. 남편이랑 둘이서 메뉴 또 추가해서 먹었어요.다른곳에서는 못먹어보는 메뉴들이 가득해요~ 담에 지인들이랑 또 와야겠어요,0.13138031864967506
event,이태리국시,조금 웨이팅이있었지만 기다린만큼 너무 맛있게 먹었어요 색다른 메뉴라서 더 좋았어요🫶🏻❤️❤️,0.1827270004153508
event,이태리국시,이태리국시 맛있어요!!! 뇨끼 진짜 맛있었구!! 대창파스타도 맛있었어요 ㅎㅎ,0.2904096784898491
event,이태리국시,역시 유명한 맛집은 다르군요!!! 아주 그냥 기가 맥힙니다 맥혀 꼭 한 번 들러서 먹어보십쇼 완전 강 추,0.09731258325502126
event,이태리국시,알배추구이 저 소스 완벽해요.. 너무 맛있습니다 대창도 매콤해서 안느끼하고 삼계리조또도 누룽지 느낌 너무 좋았어요!!,0.24388207962683645
event,이태리국시,예약하면 바로 예약 자리로 안내받아서 대기 없으니 꼭 예약하고 가기! 매장도 아늑하고 인테리어가 정말 고급스럽고 이뻐요~ 데이트/소모임 장소로 딱! 연말에 오면 정말 좋을 것 같네요🤭 알배추/숯불갈비에 김치 소스가 충격적으로 맛있으니 다들 꼭 드셔보시길 😋 메뉴들 모두 맛이 쎄지 않고 적당해서 먹으면서 속이 편했습니다~,0.11603948790037302
event,이태리국시,친구랑 놀다가 밥 먹으러 검색해서 왓는데 생각보다 너뮤 맛있고 양도 진짜 많았어요! 하이볼도 진짜 맛잇어서 추천합니당~,0.1459637066425995
event,이태리국시,메뉴도 흔하지 않으면서 색다른맛도 나면서 너무 맛있었어요!!! 다음엔 다른 대표 메뉴들도 먹어보고 싶어요 ㅎㅎ,0.22727371614267838
event,이태리국시,친구랑 왔는데 매장도 넓고 맛있어요. 피자가 너무 맛있네요,0.3855852452366433
event,이태리국시,"남편이랑 데이트로 이태리국시 다녀왔어요 🍝🤍 일단 분위기부터 너무 좋고, 음식도 전체적으로 깔끔하고 맛있어서 만족! 특히 파스타 면이 쫀득하고 소스가 진해서 계속 손이 가더라구요 😋 둘이서 편하게 이야기 나누면서 먹기 딱 좋은 곳이라 데이트 장소로 추천해요 💑 다음에 또 재방문 의사 있음! #이태리국시 #데이트맛집 #파스타맛집 #주말데이트",0.19405803312692546
event,이태리국시,성수 맛집 인정합니다 너무너무 맛있게 잘 먹었습니다 특별한 하고 맛있는 향들의 잔치 즐거운 식사 시간이였습니다,0.1629814148788158
event,이태리국시,퓨전 이태리라니 너무 신박하고 새로운 메뉴 너무 맛있었어요 ㅎㅎ 분위기도 좋고 데이트 하기 넘 좋네용 돝솥파스타라니 너무 새롭고 맛있어요!!ㅎ,0.2551023444423064
event,이태리국시,"성수에서 제대로 먹은 한 끼 🤍 이태리국수는 메뉴 조합이 진짜 미쳤다… ✔ 반계마늘돌솥리조또 돌솥이라 끝까지 뜨끈하고 마늘향이 진하게 올라와서 완전 중독적 ✔ 깻잎리코타샐러드 이 조합 누가 생각했지…? 깻잎 향 + 리코타 치즈가 이렇게 잘 어울릴 줄이야 ✔ 대창파스타 고소함 끝판왕. 대창이랑 파스타 조합이 이렇게 찰떡일 줄 몰랐음 ✔ 해산물바지락파스타 깔끔하고 시원한 맛이라 전체 밸런스 잡아주는 느낌 전체적으로 메뉴 하나도 실패 없고, 맛도 개성 확실해서 재방문 각🔥 성수 맛집 찾으면 여기 무조건 추천! #성수맛집 #이태리국수 #파스타맛집 #리조또맛집 #서울맛집 #먹스타그램",0.10549870632130359
event,이태리국시,짖짜 파스타 불맛나고 너무 맛있어요 다음에 또올게요!!,0.2559603194299531
event,이태리국시,대창파스타 맛있어요 추천이요!,0.18108615201253656
event,이태리국시,여기 음식 맛있다구 해서 첫방문 했는데 진짜 맛있네욤… 뇨끼랑 리조또가 대박이에요(๑╹ω╹๑) 또 방문히게 될 것 같아요 잘 먹었습니다😆,0.1293896078001414
event,이태리국시,한식과 양식이 적절히 어울러져서 특색있고 맛있었습니다,0.2143324145669557
event,이태리국시,남자친구랑 예약없이 방문했는데 웨이팅 안 하고 바로 입장했어요~ 숯불대창파스타 불맛 나면서 엄청 맛있고 알배추도 진짜 맛있어요! 분위기도 좋고 친절하셔서 데이트하러 오시기 좋을 것 같아요~!,0.21634266288821202
event,이태리국시,한식과 이탸리의 조화 너무 맛있어요! 또 와야지!,0.1439021989736875
event,이태리국시,불고기피자는 꼭 먹어야 해요 싸 먹는 게 불편하긴 하지만 맛이 제일 좋아요!! 아이들도 엄청 잘 먹어요 대창 파스타는 매콤해서 대창 좋아하는 사람들은 좋아할 거 같애요 리조또도 맛있고 갈비 파스타도 아이들이 엄청 잘 먹네요,0.21099077969918162
event,이태리국시,양식이 너무 먹고싶어서 왔는데 진짜 다음에도 또 올거같아요 맛도 맛있고 양도 괜찮아요 무엇보다도 직원분들이 한분한분 다 친절하셔서 여기는 무조건 재방문 의사 있습니다! 성수에 양식집 찾으시는분들은 여기 꼭 오셔요!♥,0.18977834872492175
